id,category,nameEN,nameCN,input,startup,active,recovery,onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishCounter,superArt,Properties,notesEN,notesCN
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,7,7-10,3 frame(s) after landing,,,,700,,1000,-3000,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,8,8-14,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,命中空中对手造成强制倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,10,10-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
prowler_stance,unique,Prowler Stance,破坏姿势,2PP,,,18 total frames,,,,0,,0,0,0,0,,Can transition into any follow-up attack starting from the 18th frame,18f后可以接后续派生
low_rush_during_prowler_stance,special,Low Rush (During Prowler Stance),前滑步,2PP>6,,,28 total frames,,,,0,,0,0,0,0,,Can cancel into Slash Elbow from frame 1 Can cancel into Tactical Hop and Air Stampede from frame 18 Can cancel into any follow-up attack from frame 20 except for Low Rush and Low Retreat Can cancel into any follow-up attack from frame 28,第1帧开始可以取消6P；第18帧开始可以取消LK/MK；第20帧开始可以取消除了前滑步和后滑步以外的派生；28帧后可以取消任意派生
low_retreat_during_prowler_stance,special,Low Retreat (During Prowler Stance),后滑步,2PP>4,,,31 total frames,,,,0,,0,0,0,0,,Can cancel into any follow-up attack from frame 31,第31帧后可以取消任意派生攻击
l_slashing_elbow_during_prowler_stance_low_rush_l,special,L Slashing Elbow (During Prowler Stance Low Rush) L,肘斩（轻）,2PP>6LP,12,12-15,18,3,-1,,1000,Starter scaling 20%,2000,-4000,-4000,800,High,Forces a juggle state when the attack lands as a counter or Punish Counter.,打康或确反康造成浮空硬直
m_slashing_elbow_during_prowler_stance_low_rush_m,special,M Slashing Elbow (During Prowler Stance Low Rush) M,肘斩（中）,2PP>6MP,15,15-18,18,3,-1,,1000,Starter scaling 20%,2000,-4000,-4000,800,High,Forces a juggle state when the attack lands as a counter or Punish Counter.,打康或确反康造成浮空硬直
h_slashing_elbow_during_prowler_stance_low_rush_h,special,H Slashing Elbow (During Prowler Stance Low Rush) H,肘斩（重）,2PP>6HP,18,18-21,18,3,-1,,1000,Starter scaling 20%,2000,-4000,-4000,800,High,Forces a juggle state when the attack lands as a counter or Punish Counter.,打康或确反康造成浮空硬直
palm_jab_during_prowler_stance_l,special,Palm Jab (During Prowler Stance) L,掌刺,2PP>LP,4,4-6,9,7,1,C,300,Starter scaling 20%,300,-500,-2000,300,High,Can be rapid canceled Can cancel into any follow-up attack from frame 15,可以连击取消，第15f后可以取消任意派生攻击
shoulder_launcher_during_prowler_stance_m,special,Shoulder Launcher (During Prowler Stance) M,肩撞,2PP>MP,7,7-13,17,D,-6,,800,,2000,-3000,-5000,800,High,Transitions into Falling Moon on Counter and Punish Counter Deals 2200 damage Gains 2000 Super Art gauge,打康或确反康不同动画演出，造成2200点伤害和2000点超级必杀槽回复
heavy_lariat_during_prowler_stance_h,special,Heavy Lariat (During Prowler Stance) H,重臂勾,2PP>HP,12,12-14,19,6,3,,1000,Starter scaling 20%,2000,-8000,-8000,1000,High,"When the button is held, 1 hit of super armor is added to the upper half of the body from frame 6 Hold down the button for over 13 frames to change its properties",按住按钮时第6帧开始有一段上半身霸体，按住按钮13帧改变性质
heavy_lariatcharged_during_prowler_stancehold_h,special,Heavy Lariat(Charged) (During Prowler Stance)Hold H,重臂勾（蓄力）,2PP>[HP],21,21-23,19,6,5,,1200,,2000,-10000,-10000,1000,,Super Armor for 1 attack from frames 6 - 16 Turns the opponent around on Counter and Punish Counter,6-16帧一段上半身霸体，打康或确反康造成对手背身
tactical_hop_during_prowler_stance_l,special,Tactical Hop (During Prowler Stance) L,战术跳,2PP>LK,,,39 total frames,,,,0,,0,0,0,0,,Can perform moves from frame 21 Considered airborne from frames 7 - 36,21帧后能行动，7-36帧浮空
air_stampede_during_prowler_stance_m,special,Air Stampede (During Prowler Stance) M,空落踩,2PP>MK,30,30-31,17,D,2,,1100,Starter scaling 20%,3000,-8000,-10000,1100,Mid,Considered airborne from frames 9 - 30 Produces a ground bound on Punish Counter,9-30帧浮空，确反康命中造成弹地
sweep_combination1_during_prowler_stance_h,special,Sweep Combination(1) (During Prowler Stance) H,扫腿组合技（一段）,2PP>HK,11,11-13,43,D,-17,,600,,2000,-3000,-10000,800,Low,Can cancel into any follow-up attack from frame 43 Transitions into Flying Suplex on Counter and Punish Counter Deals 1700 damage Gains 1000 Super Art gauge,43帧开始可以取消任何派生攻击，打康或确反康改变招式性质，造成1700伤害，回复1000超级必杀槽
sweep_combination2_during_prowler_stance_h_h,special,Sweep Combination(2) (During Prowler Stance) H H,扫腿组合技（二段）,2PP>HK>HK,11,11-13,46,D,-20,,600,,1000,-3000,-10000,600,Low,Can cancel into any follow-up attack from frame 46 Transitions into Flying Suplex on Counter and Punish Counter Deals 1700 damage Gains 1000 Super Art gauge,46帧开始可以取消任何派生攻击，打康或确反康改变招式性质，造成1700伤害，回复1000超级必杀槽
hyper_takedown_during_prowler_stancewhen_near_opponent_l_l,special,Hyper Takedown (During Prowler Stance)(When near opponent) L L,超级擒抱,2PP>LPLK,5,5-7,23,D,,,1200,,2000,0,-10000,2000,Throw,Transitions into Death Valley Bomb on Counter and Punish Counter Deals 2200 damage Gains 2000 Super Art gauge,确反康转换为死亡谷炸弹摔，造成2200伤害，回复2000点超级必杀槽
dangerous_armbar_during_prowler_stancewhen_close_to_a_standing_opponent_l_l,special,Dangerous Armbar (During Prowler Stance)(When close to a standing opponent) L L,危险十字固,2PP>2LPLK,21,21-23,32,D,,,2000,,2000,0,-10000,2000,Throw,Considered airborne from frames 15 - 26 Transitions into Spiral DDT on Counter and Punish Counter Deals 2300 damage Gains 3000 Super Art gauge,确反康转换为螺旋DDT，造成2300点伤害，回复3000点超级必杀槽
chop_m,normal,Chop M,手刀,6MP,22,22-23,19,3,-3,,800,,1000,-2500,-4000,500,Mid,,
oblique_stomp_m,normal,Oblique Stomp M,斜踩,4MK,7,7-9,15,5,1,,600,,1500,-4000,-6000,500,High,Transitions into Collapsing Diver on Counter and Punish Counter Deals 2200 damage Gains 2000 Super Art gauge,命中背身对手时改变性质，造成2200点伤害，增加2000点超级必杀槽
flying_cross_chop_during_a_jump_h,normal,Flying Cross Chop (During a jump) H,飞身交叉劈,J>2HP,21,21-until landing,36 frame(s) after landing,2～13,-12～-1,,800,,2000,-4000,-5000,1000,High,Recovery changes depending on the height of the attack when it hits or is blocked,收招帧数会根据打点高低改变
palm_strikes_m_h,targetcombo,Palm Strikes M H,掌击,5MP>5HP,15,15-17,21,D,-3,*,1200,Immediate scaling 30%,1500,-3000,-5000,1000,High,Can only transition to Prowler Stance on hit,只能在打中之后取消进构
twisted_drop_l_h,targetcombo,Twisted Drop L H,螺旋坠,2LK>2HK,15,15-17,30,D,-15,*,1000,,2500,-3000,-7000,1000,Low,Can only transition to Prowler Stance on hit,只能在打中之后取消进构
l_flash_axe_l,special,L Flash Axe L,闪光手斧（轻）,236LP,13,13-15,21,3,-4,SA3,800,Starter scaling 20% Combo scaling 20%,2000,-3000,-5000,800,High,,
m_flash_axe_m,special,M Flash Axe M,闪光手斧（中）,236MP,17,17-20,23,D,-6,SA3*,1000,,2000,-6000,-7000,1000,High,Can only transition to Prowler Stance on hit,只能在打中之后取消进构
flash_chop_h,special,Flash Chop H,闪光手刀（重）,236HP,26,26-29,19,5,2,SA3,1100,,2000,-7000,-12000,1150,High,Turns opponent around on hit,命中对手将对手打到背身
od_flash_chop,special,OD Flash Chop,OD闪光手刀,236PP,15,15-18,25,D,-4,SA2*,1300,,0,-5000,-8000,1100,High,Can only transition to Prowler Stance on hit,只能在打中之后取消进构
l_aerial_knee_smash_l,special,L Aerial Knee Smash L,空中膝撞（轻）,623LK,6,6-13,43,D,,,1200,,2000,0,-5000,1300,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 10 Considered airborne from frames 5 - 32 Does not hit an opponent standing on the ground,1-10f对空无敌，5-32f浮空，不能命中地面对手
m_aerial_knee_smash_m,special,M Aerial Knee Smash M,空中膝撞（中）,623MK,8,8-16,42,D,,,1400,,2000,0,-5000,1300,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 16 Considered airborne from frames 6 - 34 Does not hit an opponent standing on the ground,1-16f对空无敌，6-34f浮空，不能命中地面对手
h_aerial_knee_smash_h,special,H Aerial Knee Smash H,空中膝撞（重）,623HK,14,14-21,49,D,-42,,1500,,2000,-1500,-5000,1300,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 21 Considered airborne from frames 16 - 42,1-21f对空无敌，16-42f浮空
od_aerial_knee_smash,special,OD Aerial Knee Smash,OD空中膝撞,623KK,10,10-17,53,D,-46,,1700,,0,-1500,-5000,2000,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 17 Considered airborne from frames 12 - 38,1-17帧对空无敌，12-38帧浮空
l_power_bomb_when_near_opponent_l,special,L Power Bomb (When near opponent) L,炸弹摔（轻）,63214LP,9,9-11,50,D,,,2500,,5000,0,-10000,3000,Throw,Damage set to 2875 on Punish Counter,确反康伤害2875
m_power_bomb_when_near_opponent_m,special,M Power Bomb (When near opponent) M,炸弹摔（中）,63214MP,7,7-9,52,D,,,2500,,5000,0,-10000,3000,Throw,With Classic Controls Does 2875 individual damage when the attack lands as a Punish Counter With Modern Controls Does 2300 individual damage when the attack lands as a Punish Counter,经典：确反康伤害2875；现代：确反康伤害2300
h_power_bomb_when_near_opponent_h,special,H Power Bomb (When near opponent) H,炸弹摔（重）,63214HP,5,5-7,54,D,,,2500,,5000,0,-10000,3000,Throw,Damage set to 2875 on Punish Counter,确反康伤害2875
od_power_bomb_when_near_opponent,special,OD Power Bomb (When near opponent),OD炸弹摔,63214PP,5,5-7,54,D,,,2900,,0,0,-10000,3000,Throw,With Classic Controls Does 3335 individual damage when the attack lands as a Punish Counter With Modern Controls Does 2668 individual damage when the attack lands as a Punish Counter,经典：确反康伤害3335；现代：确反康伤害2668
power_drop_near_a_backturned_opponent,special,Power Drop (Near a back-turned opponent),强力摔（对手背身时）,63214P,5,5-7,54,D,,,2800,,5000,0,-10000,3000,Throw,,
od_power_drop_near_a_backturned_opponent,special,OD Power Drop (Near a back-turned opponent),OD强力摔（对手背身时）,63214PP,5,5-7,54,D,,*,3000,,0,0,-10000,3000,Throw,Can transition to Omega Wing Buster,可以派生片翼天使
hyper_bomb_during_overdrive_power_drop,special,Hyper Bomb (During Overdrive Power Drop),超级炸弹（OD强力摔时）,63214PP>6,,,,D,,,3200,,0,0,-11000,3000,Throw,,
sa1_raging_spear,super,SA1 Raging Spear,狂怒飞冲肩,236236K,9,9-13,55,D,-38,,2000,,0,-2500,-5000,0,High,Invincible to strikes and throws between frames 1 - 8 Values do not change when the attack lands as a counter or Punish Counter The minimum guaranteed damage is 30%,1-8帧打投无敌，伤害不会随打康种类改变，保底修正30%
sa2_sledgecross_hammer,super,SA2 Sledgecross Hammer,交叉猛拳,214214P,13,13-16,50,D,-29,,3000,Starter scaling 50% Combo scaling 20%,0,-5000,-10000,0,High,Completely invincible on frames 1 - 16 Minimum guaranteed damage is set to 40% Attack does not transition into the cinematic attack when hitting an airborne opponent *Does 2000 damage and produces a wall splat Values do not change on counter or Punish Counter,1-16帧无敌，保底修正40%，命中空中对手时不进动画，并且造成2000点伤害和墙崩，伤害不会随打康种类改变
sa2_omega_wing_buster_during_overdrive_power_drop,super,SA2 Omega Wing Buster (During Overdrive Power Drop),片翼天使,63214PP>PP,,,,D,,,2800,,0,0,-10000,0,High,Minimum guaranteed damage is set to 40%,保底修正40%
sa3_the_final_prison,super,SA3 The Final Prison,终极捕获,236236P,12,12-16,53,D,-38,,4000,,0,-7500,-15000,0,High,Completely invincible between frames 1 - 16 The minimum guaranteed damage is 50% Values do not change when the attack lands as a counter or Punish Counter * Can only be canceled into from special moves,1-16f无敌，保底修正50%，伤害不会随打康类型改变，只能取消必杀技
ca_the_final_prison,super,CA The Final Prison,CA终极捕获,236236P,12,12-16,53,D,-38,,4500,,0,-10000,-20000,0,High,Completely invincible between frames 1 - 16 The minimum guaranteed damage is 50% Values do not change when the attack lands as a counter or Punish Counter * Can only be canceled into from special moves,1-16f无敌，保底修正50%，伤害不会随打康类型改变，只能取消必杀技
arm_lock_when_near_opponent_l_l,throw,Arm Lock (When near opponent) L L,站立式木村锁,LPLK,5,5-7,23,D,,,1200,Immediate scaling 20%,2000,0,-10000,2000,Throw,Properties change to the following when the attack lands as a Punish Counter: - Deals 2040 damage - Super Art gauge increases by 4000 - Forces a hard knockdown,投到确反康性质变化：1，伤害增加为2040；2，超级必杀槽增加4000；3，强制倒地
guillotine_hammer_when_near_opponent_l_l,throw,Guillotine Hammer (When near opponent) L L,断头重锤,4LPLK,5,5-7,23,D,,,1200,Immediate scaling 20%,2000,0,-10000,2000,Throw,Properties change to the following when the attack lands as a Punish Counter: - Deals 2040 damage - Super Art gauge increases by 4000 - Forces a hard knockdown,投到确反康性质变化：1，伤害增加为2040；2，超级必杀槽增加4000；3，强制倒地
illegal_knees_when_near_opponent_l_l,throw,Illegal Knees (When near opponent) L L,犯规膝撞,2LPLK,5,5-7,23,D,,,1200,Immediate scaling 20%,2000,0,-10000,2000,Throw,Properties change to the following when the attack lands as a Punish Counter: - Deals 2040 damage - Super Art gauge increases by 4000 - Forces a hard knockdown,投到确反康性质变化：1，伤害增加为2040；2，超级必杀槽增加4000；3，强制倒地
forward_dash,common,Forward Dash,前前,66,,,22 total frames,,,,0,,0,0,0,0,,,
backward_dash,common,Backward Dash,后后,44,,,25 total frames,,,,0,,0,0,0,0,,Invincible to throws between frames 1 - 15,第1-15帧对投无敌
drive_impact_lariat_kick_h_h,common,Drive Impact: Lariat Kick H H,迸放：套索踢,HPHK,26,26-27,35,D,-3,,800,Starter scaling 20%,0,-5000,-15000,0,High,"Super Armor for 2 attacks between frames 1 - 27 Produces a wall splat if the pushback on hit causes the opponent to connect with the stage wall On Punish Counter or after a successful hit after Super Armor absorbs a hit, the following properties change: - Produces a crumple stun if the opponent is standing on the ground - Juggle state time is increased if the opponent is in the air - Super Art gauge increases by 3000",第1-27帧两次打击霸体，版边会造成对手墙崩。打到确反康性质变化：1，会造成对手进入崩防硬直；2，命中浮空对手时浮空硬直时间增加；3，超级必杀槽增加3000
drive_reversal_while_blocking_headbutt_when_blocking_or_during_a_successful_drive_parry_h_h,common,Drive Reversal (while blocking): Headbutt (When blocking or during a successful Drive Parry) H H,斗反（格挡）：头槌,6HPHK,20,20-22,26,D,-6,,500,,0,0,0,0,High,Recoverable damage Completely invincible between frames 1 - 22 5 frames of recovery added on hit,伤害为白血，第1-22帧无敌，击中对手增加5f收招
drive_reversal_while_recovering_headbutt_during_knockdown_recovery_h_h,common,Drive Reversal (while recovering): Headbutt (During knockdown recovery) H H,斗反（起身）：头槌,6HPHK,18,18-20,26,D,-6,,500,,0,0,0,0,High,Recoverable damage Completely invincible between frames 1 - 20 5 frames of recovery added on hit,伤害为白血，第1-20帧无敌，击中对手增加5f收招
drive_parry_m_m,common,Drive Parry M M,蓝防,MPMK,1,[*2] 1-12,33,,,*1,0,,0,0,0,0,,*1 Can be canceled from the 4th frame via Drive Rush *2 Parry hitbox is extended for as long as the buttons are held Only blocks can be performed during the recovery period Always in Punish Counter state during execution,1，从第4帧开始能被绿冲取消；2，蓝防判定会随着按钮的时间延长，但是在蓝防的收招动作中仅有格挡能够取消蓝防的收招，在蓝防动作的持续中，只要被攻击命中就必定为确反康
perfect_parry_strike_block_direction_m_m,common,Perfect Parry (strike) Block Direction M M,完美精防（打击）,4/1MPMK,1,,1,,,,0,Starter scaling 50％,,,,,,"Perfect Parry activates when an attack is absorbed on the frame a parry is input, or on the next frame. (For high and overhead attacks, the player must press the direction away from the opponent. For low attacks, down and back) If no direction is inputted the result will be a regular parry with an additional Drive increase of 3000. Fully invincible for 5 frames once recovery is over (invincibility not granted if you continue the parry) The player on the receiving end of a Perfect Parry cannot cancel and is forced into a Punish Counter state until their move is finished",在输入蓝防的当前帧或下一帧被打击时，会触发完美精防，（对上段/中段攻击，需同时输入后，对下段攻击需同时输入下后）。如果没有输入任何方向，则判定为普通蓝防，但额外增加3000点斗气槽回复。完美精防结束后获得5f的无敌帧（如果持续按住蓝防则不获得）。被完美精防的一方在动作结束前不能取消招式，且如果在动作结束前被击中则一定是确反康
perfect_parry_projectile_m_m,common,Perfect Parry (projectile) M M,完美精防（波动）,MPMK,1,,10,,,,0,Starter scaling 50％,,,,,,"Perfect Parry activates when an attack is absorbed on the frame a parry is input, or on the next frame No screen freeze occurs The player on the receiving end of a Perfect Parry cannot cancel and is forced into a Punish Counter state until their move is finished",在输入蓝防的当前帧或下一帧被打击时，会触发完美精防，不会出现屏幕冻结特效，被精防波动的一方不能取消动作，且在动作结束前被命中一定会出确反康
parry_drive_rush_during_a_drive_parry,common,Parry Drive Rush (During a Drive Parry),绿冲,MPMK>66,,,45 total frames,,,*,0,Multiplier scaling 15％,0,0,0,0,,Screen freeze occurs until the 10th frame * Can be canceled into an attack on the 9th frame of the move Can be canceled into actions other than a parry from the 24th frame,第1-10帧出现屏幕冻结特效，第9帧开始能够被攻击动作取消，第24帧开始能被除了蓝防以外的任何动作取消
cancel_drive_rush_while_connecting_with_a_specialcancelable_move,throw,Cancel Drive Rush (While connecting with a special-cancelable move),绿冲取消,MPMK/66,,,46 total frames,,,*,0,Multiplier scaling 15％,0,0,0,0,,Screen freeze occurs until the 9th frame * Can be canceled into an attack from the 10th frame of the move Can be canceled into actions other than a parry from the 25th frame,第1-9帧出现屏幕冻结特效，第10帧开始可以被攻击动作取消，第25帧开始可以被除了蓝防以外的任何动作取消
