#SF6APP_META
#characterId=dhalsim
#displayNameCN=
#displayNameEN=Dhalsim
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
yoga_flame_medium,specials,Yoga Flame (Medium),ヨガフレイム（中）,63214mp,,High,20,16,-,-4,-,900,1000,2400,-5000,-5000,Super
yoga_flame_heavy,specials,Yoga Flame (Heavy),ヨガフレイム（強）,63214hp,,High,26,17,-,-4,-,1200,1100,2700,-6000,-5000,Super
yoga_flame_od,specials,Yoga Flame (OD),ヨガフレイム（OD）,63214(pp),,High,18,25,-,-11,-,800,1100,-,-4000,-5000,Super
yoga_blast_light,specials,Yoga Blast (Light),ヨガブラスト（弱）,63214lk,,High,12,10,-,-6,-,1000,1200,3000,-6000,-6000,Super
yoga_blast_medium,specials,Yoga Blast (Medium),ヨガブラスト（中）,63214mk,,High,15,10,-,-3,-,1200,1200,3000,-6000,-6000,Super
yoga_blast_heavy,specials,Yoga Blast (Heavy),ヨガブラスト（強）,63214hk,,High,15,10,-,-3,-,1200,1200,3000,-6000,-6000,Super
yoga_blast_od,specials,Yoga Blast (OD),ヨガブラスト（OD）,63214(kk),,High,12,10,-,0,-,1000,1200,-,-5000,-5000,Super
yoga_comet_light,specials,Yoga Comet (Light),ヨガコメット (弱),j>63214lp,,High,30,-,-,-,-,800,1000,2000,-4000,-3000,-
yoga_comet_medium,specials,Yoga Comet (Medium),ヨガコメット (中),j>63214mp,,High,30,-,-,-,-,800,1000,2000,-4000,-3000,-
yoga_comet_heavy,specials,Yoga Comet (Heavy),ヨガコメット (強),j>63214hp,,High,30,-,-,-,-,800,1000,2000,-4000,-3000,-
yoga_comet_od,specials,Yoga Comet (OD),ヨガコメット（OD）,j>63214(pp),,High,30,-,-,-,-,1200,1000,-,-4000,-5000,-
yoga_float_immediate,normals,Yoga Float (Immediate),ヨガフロート (その場),2(kk),,-,-,-,-,-,-,-,-,-,-,-,-
yoga_float_forward,normals,Yoga Float (Forward),ヨガフロート (前),3(kk),,-,-,-,-,-,-,-,-,-,-,-,-
aerial_yoga_float,normals,Aerial Yoga Float,空中ヨガフロート,j>2(kk),,-,-,-,-,-,-,-,-,-,-,-,-
yoga_teleport_punch,normals,Yoga Teleport (Punch),ヨガテレポート (パンチ),6(ppp),,-,-,-,-,-,-,-,-,-,-,-,-
yoga_teleport_kick,normals,Yoga Teleport (Kick),ヨガテレポート (キック),6(kkk),,-,-,-,-,-,-,-,-,-,-,-,-
aerial_yoga_teleport_punch,normals,Aerial Yoga Teleport (Punch),空中ヨガテレポート (パンチ),j>6(ppp),,-,-,-,-,-,-,-,-,-,-,-,-
aerial_yoga_teleport_kick,normals,Aerial Yoga Teleport (Kick),空中ヨガテレポート (キック),j>6(kkk),,-,-,-,-,-,-,-,-,-,-,-,-
yoga_teleport_backward,normals,Yoga Teleport (Backward),ヨガテレポート (後方),4+{(ppp)|(kkk)},,-,-,-,-,-,-,-,-,-,-,-,-
aerial_yoga_teleport_backward_punch,normals,Aerial Yoga Teleport (Backward Punch),空中ヨガテレポート (後方パンチ),j>4(ppp),,-,-,-,-,-,-,-,-,-,-,-,-
aerial_yoga_teleport_backward_kick,normals,Aerial Yoga Teleport (Backward Kick),空中ヨガテレポート (後ろキック),j>4(kkk),,-,-,-,-,-,-,-,-,-,-,-,-
yoga_inferno_light,supers,Yoga Inferno (Light),ヨガインフェルノ (弱),236236lp,,High,10,84,-,-10,-,1920,-,-,5040,-5040,-
yoga_inferno_medium,supers,Yoga Inferno (Medium),ヨガインフェルノ (中),236236mp,,High,10,84,-,-10,-,2100,-,-,5040,-5040,-
yoga_inferno_heavy,supers,Yoga Inferno (Heavy),ヨガインフェルノ (強),236236hp,,High,10,84,-,-22,-,2040,-,-,5040,-5040,-
yoga_sunburst_lv1,supers,Yoga Sunburst (Lv1),ヨガサンバースト (Lv1),214214*k,,High,7,-,-,-,-,2800,-,-,-2500,-10000,-
yoga_sunburst_lv2,supers,Yoga Sunburst (Lv2),ヨガサンバースト (Lv2),214214[*k],,High,7,-,-,-,-,3100,-,-,-3500,-14000,-
yoga_sunburst_lv3,supers,Yoga Sunburst (Lv3),ヨガサンバースト (Lv3),214214[*k],,High,7,-,-,-,-,4000,-,-,-4500,-18000,-
merciless_yoga,supers,Merciless Yoga,ヨガマーシレス,236236*k,,High,10,5,75,-62,-,4000,-,-,-7500,-15000,-
merciless_yoga_ca,supers,Merciless Yoga (Critical Art),ヨガマーシレス (CA),236236*k,,High,10,5,75,-62,-,4500,-,-,-10000,-20000,-
yoga_smash,normals,Yoga Smash,ヨガスマッシュ,(lplk),,Throw,5,3,23,-,-,1200,2000,2000,-,-10000,-
yoga_throw,normals,Yoga Throw,ヨガスロー,(5lplk),,Throw,5,3,23,-,-,1200,2000,2000,-,-10000,-
yoga_splash,normals,Yoga Splash,ヨガスプラッシュ,(2lplk),,Throw,5,3,23,-,-,1200,2000,2000,-,-10000,-
